Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),3127310000000.0,2847520000000.0,0.0,1688410000000.0,6743830000000.0,6786240000000.0
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),26994300000000.0,0.0,0.0,0.0,8121900000000.0,390589000000.0
petroleum diesel (BTU),1154100000000.0,0.0,0.0,0.0,0.0,0.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),3961730000000.0,0.0,0.0,0.0,0.0,0.0
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),6352840000000.0,0.0,0.0,0.0,480543000000.0,265277000000.0
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0
